21
71
1	2	30
1	10	30
1	19	30
2	1	30
2	3	30
2	19	30
3	2	30
3	10	30
3	11	30
3	17	30
3	4	30
4	3	30
4	17	30
4	5	30
4	22	30
4	21	30
5	4	30
5	6	30
6	5	30
6	17	30
6	12	30
6	15	30
6	16	30
6	7	30
7	6	30
7	16	30
7	8	30
7	22	30
8	7	30
8	9	30
9	8	30
10	1	30
10	11	30
10	3	30
11	10	30
11	14	30
11	18	30
11	12	30
11	3	30
12	11	30
12	18	30
12	6	30
12	17	30
14	11	30
14	15	30
14	18	30
15	14	30
15	16	30
15	6	30
16	15	30
16	8	30
16	7	30
16	6	30
16	18	30
17	3	30
17	12	30
17	6	30
17	4	30
18	12	30
18	11	30
18	14	30
18	16	30
19	1	30
19	2	30
19	20	30
20	21	30
20	19	30
21	20	30
21	4	30
22	4	30
22	7	30
